,CodeAntena,Duracion,Hora,NumeroDestino
0,1100135764,0 days 00:05:00.000000000,2018-06-01 08:17:00,301.009.5672
1,1100135889,0 days 00:05:00.000000000,2018-06-01 19:51:00,315.777.6549
2,1100135649,0 days 00:03:00.000000000,2018-06-01 07:58:00,315.777.6549
3,1100135655,0 days 00:05:00.000000000,2018-06-02 17:25:00,315.777.6549
4,1100123525,0 days 00:01:00.000000000,2018-06-02 14:44:00,315.777.6549
5,1100187846,0 days 00:05:00.000000000,2018-06-02 20:06:00,300.227.8739
6,1100135299,0 days 00:06:00.000000000,2018-06-02 17:49:00,315.777.6549
7,1100162871,0 days 00:03:00.000000000,2018-06-02 13:33:00,301.009.5672
8,1100162804,0 days 00:04:00.000000000,2018-06-03 14:42:00,315.777.6549
9,1100162365,0 days 00:03:00.000000000,2018-06-03 20:02:00,315.777.6549
10,1100162403,0 days 00:06:00.000000000,2018-06-03 15:58:00,300.227.8739
11,1100162846,0 days 00:06:00.000000000,2018-06-03 12:53:00,315.777.6549
12,1100162791,0 days 00:03:00.000000000,2018-06-04 08:36:00,300.227.8739
13,1100123408,0 days 00:03:00.000000000,2018-06-04 15:42:00,311.487.6976
14,1100187199,0 days 00:04:00.000000000,2018-06-04 07:56:00,301.009.5672
15,1100135522,0 days 00:06:00.000000000,2018-06-04 16:44:00,315.777.6549
16,1100162506,0 days 00:06:00.000000000,2018-06-04 09:00:00,301.009.5672
17,1100187372,0 days 00:03:00.000000000,2018-06-04 12:37:00,301.009.5672
18,1100123201,0 days 00:05:00.000000000,2018-06-04 07:42:00,300.227.8739
19,1100162286,0 days 00:06:00.000000000,2018-06-05 10:45:00,315.777.6549
20,1100123145,0 days 00:06:00.000000000,2018-06-05 22:38:00,315.777.6549
21,1100187447,0 days 00:04:00.000000000,2018-06-05 21:12:00,300.227.8739
22,1100135710,0 days 00:04:00.000000000,2018-06-06 08:17:00,315.777.6549
23,1100123194,0 days 00:01:00.000000000,2018-06-06 11:44:00,300.227.8739
24,1100123253,0 days 00:03:00.000000000,2018-06-06 19:35:00,301.009.5672
25,1100162855,0 days 00:03:00.000000000,2018-06-06 06:44:00,315.777.6549
26,1100135462,0 days 00:05:00.000000000,2018-06-06 06:59:00,311.487.6976
27,1100123281,0 days 00:06:00.000000000,2018-06-06 07:47:00,300.227.8739
28,1100162517,0 days 00:01:00.000000000,2018-06-06 14:07:00,311.487.6976
29,1100187251,0 days 00:05:00.000000000,2018-06-07 06:56:00,315.777.6549
30,1100123550,0 days 00:02:00.000000000,2018-06-07 07:12:00,315.777.6549
31,1100162148,0 days 00:06:00.000000000,2018-06-07 14:26:00,300.227.8739
32,1100187506,0 days 00:02:00.000000000,2018-06-07 11:05:00,311.487.6976
33,1100123443,0 days 00:02:00.000000000,2018-06-07 09:05:00,301.009.5672
34,1100135136,0 days 00:04:00.000000000,2018-06-07 06:25:00,300.227.8739
35,1100135463,0 days 00:05:00.000000000,2018-06-07 21:17:00,301.009.5672
36,1100187598,0 days 00:05:00.000000000,2018-06-07 21:53:00,315.777.6549
37,1100187727,0 days 00:04:00.000000000,2018-06-07 20:04:00,311.487.6976
38,1100135530,0 days 00:05:00.000000000,2018-06-08 12:39:00,300.227.8739
39,1100162517,0 days 00:04:00.000000000,2018-06-08 06:44:00,315.777.6549
40,1100162505,0 days 00:06:00.000000000,2018-06-08 13:21:00,300.227.8739
41,1100162156,0 days 00:03:00.000000000,2018-06-08 09:30:00,300.227.8739
42,1100123827,0 days 00:01:00.000000000,2018-06-08 14:10:00,311.487.6976
43,1100135600,0 days 00:03:00.000000000,2018-06-09 10:33:00,301.009.5672
44,1100187186,0 days 00:02:00.000000000,2018-06-09 12:15:00,315.777.6549
45,1100162214,0 days 00:05:00.000000000,2018-06-09 15:23:00,311.487.6976
46,1100123127,0 days 00:06:00.000000000,2018-06-09 17:28:00,311.487.6976
47,1100162622,0 days 00:03:00.000000000,2018-06-10 19:12:00,315.777.6549
48,1100162543,0 days 00:03:00.000000000,2018-06-10 20:46:00,315.777.6549
49,1100135442,0 days 00:04:00.000000000,2018-06-10 07:21:00,315.777.6549
50,1100135211,0 days 00:06:00.000000000,2018-06-10 10:46:00,301.009.5672
51,1100135668,0 days 00:04:00.000000000,2018-06-10 18:59:00,311.487.6976
52,1100135847,0 days 00:05:00.000000000,2018-06-11 11:05:00,301.009.5672
53,1100187470,0 days 00:03:00.000000000,2018-06-11 06:08:00,315.777.6549
54,1100135386,0 days 00:04:00.000000000,2018-06-11 06:04:00,301.009.5672
55,1100135346,0 days 00:01:00.000000000,2018-06-12 22:20:00,300.227.8739
56,1100135126,0 days 00:02:00.000000000,2018-06-12 06:53:00,315.777.6549
57,1100162637,0 days 00:03:00.000000000,2018-06-12 09:38:00,315.777.6549
58,1100135108,0 days 00:05:00.000000000,2018-06-12 10:25:00,315.777.6549
59,1100187236,0 days 00:01:00.000000000,2018-06-12 08:02:00,301.009.5672
60,1100135277,0 days 00:06:00.000000000,2018-06-12 08:21:00,315.777.6549
61,1100135460,0 days 00:04:00.000000000,2018-06-13 16:19:00,301.009.5672
62,1100135895,0 days 00:03:00.000000000,2018-06-13 13:33:00,315.777.6549
63,1100135520,0 days 00:02:00.000000000,2018-06-13 13:22:00,301.009.5672
64,1100162344,0 days 00:06:00.000000000,2018-06-13 06:01:00,315.777.6549
65,1100162672,0 days 00:02:00.000000000,2018-06-13 13:16:00,315.777.6549
66,1100162330,0 days 00:03:00.000000000,2018-06-14 10:49:00,311.487.6976
67,1100187282,0 days 00:02:00.000000000,2018-06-14 18:23:00,300.227.8739
68,1100135665,0 days 00:03:00.000000000,2018-06-14 09:49:00,315.777.6549
69,1100135876,0 days 00:01:00.000000000,2018-06-14 17:35:00,300.227.8739
70,1100123805,0 days 00:05:00.000000000,2018-06-14 16:23:00,315.777.6549
71,1100187137,0 days 00:01:00.000000000,2018-06-14 17:24:00,300.227.8739
72,1100135867,0 days 00:01:00.000000000,2018-06-15 14:56:00,300.227.8739
73,1100162390,0 days 00:01:00.000000000,2018-06-15 16:58:00,311.487.6976
74,1100162391,0 days 00:06:00.000000000,2018-06-15 09:18:00,300.227.8739
75,1100162660,0 days 00:06:00.000000000,2018-06-15 08:24:00,311.487.6976
76,1100135700,0 days 00:05:00.000000000,2018-06-15 19:49:00,315.777.6549
77,1100162737,0 days 00:04:00.000000000,2018-06-15 19:15:00,311.487.6976
78,1100187163,0 days 00:02:00.000000000,2018-06-15 06:08:00,311.487.6976
